Well,Strain,Biorep,Techrep,Media
A1,,,,R
A2,,,,R
A3,,,,R
A4,,,,R
A5,,,,R
A6,,,,R
A7,,,,R
A8,,,,R
A9,,,,R
A10,,,,R
A11,,,,R
A12,,,,R
B1,,,,R
B2,KN99,1,1,R
B3,KN99,2,1,R
B4,KN99,3,1,R
B5,KN99,4,1,R
B6,Gat201,1,1,R
B7,Gat201,2,1,R
B8,Gat201,3,1,R
B9,Gat201,4,1,R
B10,BLP1,1,1,R
B11,BLP1,2,1,R
B12,,,,R
C1,,,,R
C2,KN99,1,2,R
C3,KN99,2,2,R
C4,KN99,3,2,R
C5,KN99,4,2,R
C6,Gat201,1,2,R
C7,Gat201,2,2,R
C8,Gat201,3,2,R
C9,Gat201,4,2,R
C10,BLP1,1,2,R
C11,BLP1,2,2,R
C12,,,,R
D1,,,,R
D2,KN99,1,3,R
D3,KN99,2,3,R
D4,KN99,3,3,R
D5,KN99,4,3,R
D6,Gat201,1,3,R
D7,Gat201,2,3,R
D8,Gat201,3,3,R
D9,Gat201,4,3,R
D10,BLP1,1,3,R
D11,BLP1,2,3,R
D12,,,,R
E1,,,,R
E2,GAT204,1,1,R
E3,GAT204,2,1,R
E4,GAT204,3,1,R
E5,GAT204,4,1,R
E6,LIV3,1,1,R
E7,LIV3,2,1,R
E8,LIV3,3,1,R
E9,LIV3,4,1,R
E10,BLP1,3,1,R
E11,BLP1,4,1,R
E12,,,,R
F1,,,,R
F2,GAT204,1,2,R
F3,GAT204,2,2,R
F4,GAT204,3,2,R
F5,GAT204,4,2,R
F6,LIV3,1,2,R
F7,LIV3,2,2,R
F8,LIV3,3,2,R
F9,LIV3,4,2,R
F10,BLP1,3,2,R
F11,BLP1,4,2,R
F12,,,,R
G1,,,,R
G2,GAT204,1,3,R
G3,GAT204,2,3,R
G4,GAT204,3,3,R
G5,GAT204,4,3,R
G6,LIV3,1,3,R
G7,LIV3,2,3,R
G8,LIV3,3,3,R
G9,LIV3,4,3,R
G10,BLP1,3,3,R
G11,BLP1,4,3,R
G12,,,,R
H1,,,,R
H2,,,,R
H3,,,,R
H4,,,,R
H5,,,,R
H6,,,,R
H7,,,,R
H8,,,,R
H9,,,,R
H10,,,,R
H11,,,,R
H12,,,,R
