Well,Strain,Biorep,Techrep,Media
A1,,,,R
A2,,,,R
A3,,,,R
A4,,,,R
A5,,,,R
A6,,,,R
A7,,,,R
A8,,,,R
A9,,,,R
A10,,,,R
A11,,,,R
A12,,,,R
B1,,,,R
B2,KN99,1,1,R
B3,KN99,2,1,R
B4,KN99,3,1,R
B5,GAT201,4,1,R
B6,GAT201,1,1,R
B7,GAT201,2,1,R
B8,GAT204,3,1,R
B9,GAT204,4,1,R
B10,GAT204,1,1,R
B11,,2,1,R
B12,,,,R
C1,,,,R
C2,KN99,1,2,R
C3,KN99,2,2,R
C4,KN99,3,2,R
C5,GAT201,4,2,R
C6,GAT201,1,2,R
C7,GAT201,2,2,R
C8,GAT204,3,2,R
C9,GAT204,4,2,R
C10,GAT204,1,2,R
C11,,2,2,R
C12,,,,R
D1,,,,R
D2,KN99,1,3,R
D3,KN99,2,3,R
D4,KN99,3,3,R
D5,GAT201,4,3,R
D6,GAT201,1,3,R
D7,GAT201,2,3,R
D8,GAT204,3,3,R
D9,GAT204,4,3,R
D10,GAT204,1,3,R
D11,,2,3,R
D12,,,,R
E1,,,,R
E2,LIV3,1,1,R
E3,LIV3,2,1,R
E4,LIV3,3,1,R
E5,BLP1,4,1,R
E6,BLP1,1,1,R
E7,BLP1,2,1,R
E8,RCV1,3,1,R
E9,RCV1,4,1,R
E10,CNAG_05812,3,1,R
E11,CNAG_05812,4,1,R
E12,,,,R
F1,,,,R
F2,LIV3,1,2,R
F3,LIV3,2,2,R
F4,LIV3,3,2,R
F5,BLP1,4,2,R
F6,BLP1,1,2,R
F7,BLP1,2,2,R
F8,RCV1,3,2,R
F9,RCV1,4,2,R
F10,CNAG_05812,3,2,R
F11,CNAG_05812,4,2,R
F12,,,,R
G1,,,,R
G2,LIV3,1,3,R
G3,LIV3,2,3,R
G4,LIV3,3,3,R
G5,BLP1,4,3,R
G6,BLP1,1,3,R
G7,BLP1,2,3,R
G8,RCV1,3,3,R
G9,RCV1,4,3,R
G10,CNAG_05812,3,3,R
G11,CNAG_05812,4,3,R
G12,,,,R
H1,,,,R
H2,,,,R
H3,,,,R
H4,,,,R
H5,,,,R
H6,,,,R
H7,,,,R
H8,,,,R
H9,,,,R
H10,,,,R
H11,,,,R
H12,,,,R
